,Longitude,Latitude,Location,coords_x,coords_y
0,-83.1407826,42.376147833333334,"(42.376147833333334, -83.1407826)",-9255189.58318626,5217492.164974049
1,-82.97552687096774,42.430044,"(42.430044, -82.97552687096774)",-9236793.399579719,5225617.220256342
3,-83.22163910344828,42.353608344827585,"(42.353608344827585, -83.22163910344828)",-9264190.487977447,5214096.31811469
4,-83.0386686,42.33712556,"(42.33712556, -83.0386686)",-9243822.304703396,5211613.757879065
5,-83.16286646153846,42.41932596153846,"(42.41932596153846, -83.16286646153846)",-9257647.94740747,5224000.878412587
6,-83.09317892592593,42.42495651851852,"(42.42495651851852, -83.09317892592593)",-9249890.366428444,5224849.964335727
7,-83.14530822222223,42.28395122222222,"(42.28395122222222, -83.14530822222223)",-9255693.37314756,5203609.319241425
8,-82.99082704166666,42.380456875,"(42.380456875, -82.99082704166666)",-9238496.606790971,5218141.5130362185
9,-83.21358062068965,42.41394624137931,"(42.41394624137931, -83.21358062068965)",-9263293.42178019,5223189.689811587
10,-83.26535384210526,42.42485805263158,"(42.42485805263158, -83.26535384210526)",-9269056.790424902,5224835.115061062
11,-83.03646021052631,42.41770894736842,"(42.41770894736842, -83.03646021052631)",-9243576.467911711,5223757.047362584
12,-83.12084278260869,42.327693260869566,"(42.327693260869566, -83.12084278260869)",-9252969.892867748,5210193.401663446
13,-82.9374705652174,42.40310539130435,"(42.40310539130435, -82.9374705652174)",-9232556.991002114,5221555.248485984
14,-83.0714476909091,42.360758781818184,"(42.360758781818184, -83.0714476909091)",-9247471.256412063,5215173.486091929
